model,precision,recall,f1,roc_auc
logreg,0.8239247311827957,0.9951298701298701,0.9014705882352941,0.6796496414033728
rf,0.8274456521739131,0.9886363636363636,0.9008875739644969,0.6293128513277767
dtree,0.8298217179902755,0.8311688311688312,0.8304947283049473,0.5237933708082961
